ID,Term,Grant Program,Start Year,Grant Organization,Organization Name,Project Title,Support Year,Grant Type,Award Amount,TermCode,State
0,bicultural,R01,2002,HD,UNIVERSITY OF CONNECTICUT STORRS,CULTURAL CHANGE IN CHILDREARING BELIEFS AND PRACTICES,3.0,2,335137.0,6,CT
1,bicultural,R01,2001,HD,UNIVERSITY OF CONNECTICUT STORRS,CULTURAL CHANGE IN CHILDREARING BELIEFS AND PRACTICES,2.0,2,355033.0,6,CT
2,bicultural,R01,2000,HD,UNIVERSITY OF CONNECTICUT STORRS,CULTURAL CHANGE IN CHILDREARING BELIEFS AND PRACTICES,1.0,1,415255.0,6,CT
3,bicultural,R01,2009,MH,TUFTS UNIVERSITY MEDFORD,COMMUNICATION OF EMOTION: BEHAVIORAL AND NEURAL CORRELATES,5.0,2,207082.0,6,MA
4,bicultural,R01,2008,MH,TUFTS UNIVERSITY MEDFORD,COMMUNICATION OF EMOTION: BEHAVIORAL AND NEURAL CORRELATES,4.0,2,207082.0,6,MA
5,bicultural,R01,2007,MH,TUFTS UNIVERSITY MEDFORD,COMMUNICATION OF EMOTION: BEHAVIORAL AND NEURAL CORRELATES,3.0,2,207082.0,6,MA
6,bicultural,R01,2006,MH,TUFTS UNIVERSITY MEDFORD,COMMUNICATION OF EMOTION: BEHAVIORAL AND NEURAL CORRELATES,2.0,2,213268.0,6,MA
7,bicultural,R01,2005,MH,TUFTS UNIVERSITY MEDFORD,NONLINGUISTIC DIALECTS: BEHAVIORAL AND NEURAL CORRELATES,1.0,1,218400.0,6,MA
8,bicultural,R24,2012,MD,INSTITUTE FOR FAMILY HEALTH,BRONX FAITH-BASED INITIATIVE TO ELIMINATE RACIAL DISPARITIES IN HEALTH,8.0,2,583862.0,6,NY
9,bicultural,R24,2011,MD,INSTITUTE FOR FAMILY HEALTH,BRONX FAITH-BASED INITIATIVE TO ELIMINATE RACIAL DISPARITIES IN HEALTH,7.0,2,624348.0,6,NY
10,bicultural,R24,2010,MD,INSTITUTE FOR FAMILY HEALTH,BRONX FAITH-BASED INITIATIVE TO ELIMINATE RACIAL DISPARITIES IN HEALTH,6.0,2,625127.0,6,NY
