"AwardNumber","Title","NSFOrganization","Program(s)","StartDate","LastAmendmentDate","PrincipalInvestigator","State","Organization","AwardInstrument","ProgramManager","EndDate","AwardedAmountToDate","Co-PIName(s)","PIEmailAddress","OrganizationStreet","OrganizationCity","OrganizationState","OrganizationZip","OrganizationPhone","NSFDirectorate","ProgramElementCode(s)","ProgramReferenceCode(s)","ARRAAmount","Abstract"
"0610473","Diversity and Ecological Function of Bats in the Coffee Agroecosystems of Chiapas, Mexico","DBI","MINORITY POSTDOC RSRCH FLW-NEW","10/01/2006","09/15/2009","Kimberly Williams-Guillen","CA","Williams-Guillen Kimberly A","Continuing grant","Carter Kimsey","06/30/2010","$183,000.00","","","","Los Altos","CA","940223520","","BIO","1157","0000, 1036, 1228, OTHR","$0.00","This project is awarded under the Minority Postdoctoral Research Fellowships and Supporting Activities Program for 2006. Biodiversity and ecosystem conservation hinge on our ability to integrate the goals of production and preservation. Although protected areas play a critical role in conservation, because of their limited geographical scope, alone they cannot meet conservation goals. Instead, conservation depends in large part on the anthropogenic landscapes in which protected areas are embedded - the matrix habitat. Intensity of human management of these zones affects the quality of the matrix which separates fragmented habitat, and the ability of wildlife to survive in matrix habitats. Due to their diversity and ecological importance, Neotropical bats are of high conservation concern; however, little information exists on their assemblage structure and ecology outside of continuous or fragmented forests. As insectivores, bats presumably bats have important ecological functions via predation on arthropods and top-down control of herbivore damage. Although it is therefore thought that bats could have a positive effect on agricultural production, little quantitative data exist from tropical ecosystems to support this assumption. This research will therefore address two main questions: (1) What is the conservation potential of differing matrix habitats for bats? and (2) What is the impact of bat populations in agroecosystems on arthropod populations and crop productivity? Research will take place in coffee plantations in Chiapas, Mexico, along a gradient of decreasing matrix quality (from traditional polycultural shade-grown coffee to monocultural low-shade systems). Mist nets, harp traps, and acoustic monitoring will be used to characterize the bat assemblage and habitat use; particular effort will be made to describe the insectivorous bat ensemble. Exclosure experiments will be used to evaluate the effects of bat predation on arthropod populations and plant productivity. This project will result in: an improved understanding of the ability of the agroecological matrix to support bat populations; characterization of under-sampled bat species in matrix habitat; and a quantitative characterization of arthropod regulation by bats in a tropical agroecosystem.<br/>The ultimate goal of this research project is to produce information that will be applied to conservation problems in the tropics, for example via improved landscape-level conservation schemes for Neotropical bats and incorporation of biodiversity conservation in agricultural planning. This research builds upon my dissertation work on the ecology of primates living in shade coffee; at the same time, it will result in a reorientation of my research program towards community ecology and applied ecological studies. Working with Sponsoring Scientist Ivette Perfecto at the University of Michigan will provide a strong foundation in agroecology and community-level studies, preparing me for future research in conservation biology. I plan to continue researching conservation issues in multiple-use landscapes. Ultimately I hope to collaborate closely with social scientists, governments, and local stakeholders to promote improved sustainability in the anthropogenic landscapes which complement the critical role of protected areas in biodiversity conservation."
"1257175","A Transdisciplinary Deliberative Model for Just Research and Policy: Toward Resolving the Crisis of Vanishing Insect Pollinators","SES","SCIENCE, TECH & SOCIETY, SCIENCE OF SCIENCE POLICY","05/01/2013","04/22/2013","Daniel Kleinman","WI","University of Wisconsin-Madison","Standard Grant","Frederick M Kronz","04/30/2016","$303,650.00","","dlkleinman@wisc.edu","21 North Park Street","MADISON","WI","537151218","6082623822","SBE","7603, 7626","7567, 7956","$0.00","This project seeks to use deliberative processes with a wide range of stake holders to develop an alternative experimental paradigm for field studies to understand the sustainability crisis in honey bees. Scientists agree that what they call Colony Collapse Disorder (CCD), is caused by a complex combination of factors, including pesticides, pathogens, parasites and/or poor nutrition yet field research is currently dominated by toxicological practices which emphasize the isolation of individual causal factors and experimental control. Analysis of cumulative and interactive effects of pesticides and other ambient environmental factors?an approach that beekeepers tend to embrace--has been precluded. This 2-year project aims to innovate experimental field research methods so as to better incorporate socio-ecological complexity. They propose to experiment with deliberative strategies for enhancing the influence of non-scientists (beekeepers, farmers, ecologists) on research aimed at understanding CCD. They will facilitate face-to-face deliberations using diverse methodological and conceptual tools for place-based analyses, in conjunction with four pilot field studies of mono-cultural crops and poly-cultural crops, managed with or without ?reduced risk? insecticides. <br/><br/>The environmental and agricultural sustainability of the United States is threatened by steep declines in insect pollinators. The proposed activity seeks to make important contributions to environmental problem solving. It also aims to broaden the participation of primarily affected and often-excluded, non-scientific (non-certified) citizens and to include their varieties of expertise in the production of scientific knowledge and policy. It stands to show that a fairer process, wherein a broader array of stakeholders shapes the research that affects their lives, can lead to better science and policy."
"1134215","Experimental and theoretical trait-based approaches to optimizing algal biofuel polycultures","CBET","ENERGY FOR SUSTAINABILITY","10/01/2011","08/17/2011","Elena Litchman","MI","Michigan State University","Standard Grant","Gregory Rorrer","09/30/2016","$328,537.00","Christopher Klausmeier","litchman@msu.edu","Office of Sponsored Programs","East Lansing","MI","488242600","5173555040","ENG","7644","002E, 9102","$0.00","PI: Litchman<br/>Proposal Number: 1134215<br/><br/>Intellectual Merit<br/><br/>Microalgae are a promising renewable feedstock for sustainable biofuel production, and offer several unique advantages for this purpose, including high growth rate and photosynthetic efficiency, use of marginal land for lipid-rich biomass production, potential use of wastewater as a nutrient source, and relatively low energy requirements for converting its biomass (lipids) into biofuel (biodiesel). Approaches to intensification of algal biofuel production typically focus on identifying and growing monocultures of microalgal species shown to produce high amounts of lipids. However, these monocultures, because of inherent physiological trade-offs, may not utilize nutrients and light for maximum efficiency, are susceptible to invasions by other species, and can exhibit fluctuations in biomass and lipid productivity. In contrast, microalgal polycultures can potentially circumvent these eco-physiological tradeoffs and provide a more robust platform for algal biofuels production, particularly in scalable open cultivation systems. <br/><br/>The overall goal of the proposed research is to design multispecies microalgal communities that optimize resource utilization, biomass production, and lipid accumulation under changing environmental conditions while providing increased resistance to pathogens and invasions by nuisance species. Towards this end, the diverse eco-physiological traits of many algal species will be analyzed to deduce the trade-offs among these traits, and from this analysis, the appropriate species for microalgal consortia will be identified that maximize multiple goal functions under process constraints. Mathematical models, combined with laboratory experiments for parameter estimation and model validation, will be used to assess the dynamic behavior of the designed polyculture communities, and identify those with best performance characteristics relative to their respective monocultures. The most promising microalgal communities will be further investigated for scalability using enclosed photobioreactors and open pond cultivation systems.<br/><br/>Broader Impacts<br/><br/>The proposed education and outreach activities will offer K-12 student and teacher experiences in bioenergy topics through the Kellogg Biological Station (KBS) GK-12 Bioenergy Sustainability Project, which engages local rural schools in ecological and sustainability research. The PI will host a high school teacher during the summer to develop age-appropriate, hands-on educational modules on bionergy, sustainability, and aquatic ecology. A postdoctoral associate will be trained in interdisciplinary research combining mathematical modeling, ecological principles, and bioenergy applications, and will interact with the researchers from the Great Lakes Bioenergy Research Center (GLBRC) to exchange ideas on the use of polycultures for biofuel production."
"1442749","CyberSEES: Type 1: Fostering Non-Expert Creation of Sustainable Polycultures through Crowdsourced Data Synthesis","CCF","CyberSEES","01/15/2015","08/18/2014","William Tomlinson","CA","University of California-Irvine","Standard Grant","Phillip Regalia","12/31/2016","$398,838.00","Donald Patterson, Sarah Lovell","wmt@uci.edu","5171 California Avenue, Ste 150","Irvine","CA","926173067","9498244768","CSE","8211","8207","$0.00","This project integrates research in computing and sustainability science with the goal of enabling a new approach to sustainable food security. The PIs propose to combine cyber-human systems and crowdsourcing research with the science of agroecology with two main research goals: 1) to develop an understanding of how online design tools may contribute to sustainability through enhanced local food production, and 2) to utilize the population of a plant species database as an instance of a class of problems amenable to intelligent crowdsourcing, and pioneer new knowledge in crowdsourcing optimization. As part of this project, the research team will design, build, deploy, and evaluate the Sustainable Polyculture Composer, an online software tool to aid in the design of small-scale plant-based agricultural ecosystems (e.g., back yard food forests). <br/><br/>Long-term food security is central to sustainability. US food supply chains contribute to global change and are vulnerable to its impacts. Large numbers of small-scale, sustainable, local food production systems could help ensure food security in the face of global change, and could help reduce the environmental impacts of the US food supply. Unfortunately, many efforts at local food production (e.g., back yard gardens) require significant inputs such as water and fertilizer. Effective tools and techniques to encourage novices to begin growing their own food in sustainable ways are lacking. The work will contribute to long-term food security and offer lessons, concepts, methods, and software tools that may be transferable to other sustainability challenges. In addition, the computing research will provide an example that can be generalized to other efforts to more effectively integrate knowledge that is distributed across many people."
"9760123","SBIR Phase I: Dulse as Abalone Food and Biofilter: Sustainable Production in a Semi-Closed Polyculture System","IIP","SMALL BUSINESS PHASE I","01/01/1998","11/26/1997","J. Lane Cameron","WA","Big Island Abalone Corporation","Standard Grant","Ritchie B. Coryell","06/30/1998","$100,000.00","","lane@rockisland.com","PO Box 1249","Friday Harbor","WA","982501249","3603783494","ENG","5371","9189, EGCH","$0.00","*** 9760123 Cameron Over the past two decades, the world abalone market has suffered from a significant decline in supply. This is due primarily to over-fishing of wild abalone. Farm reared abalone have not yet been produced in sufficient quantity to fill this void in the world market. Significant effort is being devoted to the development of cost-effective abalone cultivation systems. The limited availability of suitable seaweed as abalone food has been identified as one of the main impediments to farming of abalone. It is the problem of food availability that Big Island Abalone Corporation proposes to address in this feasibility test of it's proprietary design for a low maintenance, land-based, modular abalone and macro-algae polyculture grow-out system. The primary focus of the proposed research will be to determine the maximum sustainable production of a macro alga, Palmaria mollis, to be used as abalone food, under the unique parameters that comprise the aquaculture environment at the Natural Energy Laboratory Hawaii Authority at Keahole Point, Hi. The ability to grow dulse in sufficient quantity to sustain commercial production of abalone is pivotal for the success of BIAC's efforts at commercial abalone farming. The demand for abalone, as a result of the precipitous declines in world-wide Catch, is at an all time high. The FAO has estimated the world catch of abalone in 1968 at 28,000 metric tons, and only 13,000 metric tons in 1995. With this plunge in wild catch of abalone has come significant increases in price at all market levels. Again in 1968, abalone landed in California sold for about $95.00 a dozen. While today wild caught abalone in California are selling for about $600.00 a dozen. The market for abalone, while world-wide in scope, is not one market but actually two. The largest segment and somewhat independent from the smaller, is in Asia (Japan, China, Hong Kong, Korea & Taiwan). The smaller market segment includes the United States, Canada, Mexico, En gland, Ireland, Iceland, Israel, France, South Africa, New Zealand, and Australia, with emerging interest in Chile. From it's mid-Pacific base Big Island Abalone is strategically placed to sell abalone in all Pacific Rim markets. ***"
"0351345","Collaborative Research: Biodiversity and Ecosystem Function in Seaweed Communities","OCE","BIOLOGICAL OCEANOGRAPHY","03/01/2004","02/26/2004","Michael Graham","CA","San Jose State University Foundation","Standard Grant","David L. Garrison","02/28/2010","$263,427.00","","mgraham@mlml.calstate.edu","210 North Fourth Street","San Jose","CA","951125569","4089241400","GEO","1650","9169, EGCH","$0.00","Stachowicz/Graham-0351778/1345<br/>Collaborative research: Biodiversity and ecosystem function in intertidal seaweed communities.<br/><br/>The relationships between species diversity and ecosystem properties such as stability, resilience, and resistance to perturbation have long been topics of theoretical interest to ecologists. In recent years, however, accelerating loss of biodiversity due to human activities has renewed interest in the functional consequences of biodiversity in ecosystems. Although experimental ecology in marine habitats has a long and productive history, and there is a fair understanding of what maintains diversity in marine benthic assemblages, little is known about the functional consequences of that diversity for the rest of the community. In this regard marine scientists lag far behind their terrestrial colleagues. This project entails a series of lab and field experiments to examine the effects of intertidal macroalgal (seaweed) diversity on primary production and the diversity, abundance, and reproduction of consumer species. <br/><br/>The study will begin with a relatively large scale manipulation (2 m diameter plots) of macroalgal diversity on natural rocky intertidal communities at Bodega Bay, California. Five main treatments will consist of a monoculture of each of the 4 algal species that comprise >90% of the algal cover in this system and the the 4-species polyculture. Results of this experiment will be used to examine the relationship between diversity and a variety of ecosystem functions at the producer and consumer level, including the primary productivity and biomass of the macroalgal community; the growth, recruitment and reproduction of individual algal species; and the diversity, and abundance of mobile and sessile invertebrates. For objectives 2 and 3, the mechanisms responsible for any of these effects will be explored. For example, some seaweeds exhibit significantly different rates of photosynthesis in air vs. water, providing a potential mechanism for complementarity among species. Thus, in objective 2, the effects of diversity on shorter term carbon fixation in air and in water will be explored in the lab using O2 evolution (water) and CO2 uptake (air). Similarly, in objective 3, field experiments with algal mimics will be used to assess whether the structural complexity of more diverse algal communities is responsible for enhanced inverterbrate diversity or abundance. For this objective, the possibility that the algal diet provided by multiple species in polycultures results in superior growth, survival or fecundity of herbivorous invertebrates in the plots will also be tested. In all experiments, the experimental design will allow us to (a) determine whether there is a diversity effect and (b) if there is a diversity effect, whether it is simply due to the overwhelming effect of one species (i.e., the sampling effect) or due to complementary roles played by the various macroalgal species. <br/><br/>Given the unprecedented rate of extinctions the earth is experiencing, an understanding of the consequences of biodiversity loss is critical to management efforts and this study will allow us to assess the applicability of terrestrial results to the management of marine systems. For example, it is vital that resource managers and designers of Marine Protected Areas understand the degree to which diversity at the producer level is important for enhancing the production and diversity of higher trophic levels and the overall function of coastal ecosystems. This study will provide some of the first data anywhere in marine systems on these issues and the first experimental data for the Pacific marine rocky intertidal. This project will also enhance the experience and training of post-doctoral, Ph.D. and M.S. students, and undergraduate students at two institutions. <br/><br/>(edited 15 Jan 04, J. Pawlik)"
"0351778","COLLABORATIVE RESEARCH: Biodiversity and ecosystem function in intertidal seaweed communities","OCE","BIOLOGICAL OCEANOGRAPHY","03/01/2004","02/26/2004","John Stachowicz","CA","University of California-Davis","Standard Grant","David L. Garrison","02/28/2009","$266,489.00","","jjstachowicz@ucdavis.edu","OR/Sponsored Programs","Davis","CA","956186134","5307547700","GEO","1650","9169, EGCH","$0.00","Stachowicz/Graham-0351778/1345<br/>Collaborative research: Biodiversity and ecosystem function in intertidal seaweed communities.<br/><br/>The relationships between species diversity and ecosystem properties such as stability, resilience, and resistance to perturbation have long been topics of theoretical interest to ecologists. In recent years, however, accelerating loss of biodiversity due to human activities has renewed interest in the functional consequences of biodiversity in ecosystems. Although experimental ecology in marine habitats has a long and productive history, and there is a fair understanding of what maintains diversity in marine benthic assemblages, little is known about the functional consequences of that diversity for the rest of the community. In this regard marine scientists lag far behind their terrestrial colleagues. This project entails a series of lab and field experiments to examine the effects of intertidal macroalgal (seaweed) diversity on primary production and the diversity, abundance, and reproduction of consumer species. <br/><br/>The study will begin with a relatively large scale manipulation (2 m diameter plots) of macroalgal diversity on natural rocky intertidal communities at Bodega Bay, California. Five main treatments will consist of a monoculture of each of the 4 algal species that comprise >90% of the algal cover in this system and the the 4-species polyculture. Results of this experiment will be used to examine the relationship between diversity and a variety of ecosystem functions at the producer and consumer level, including the primary productivity and biomass of the macroalgal community; the growth, recruitment and reproduction of individual algal species; and the diversity, and abundance of mobile and sessile invertebrates. For objectives 2 and 3, the mechanisms responsible for any of these effects will be explored. For example, some seaweeds exhibit significantly different rates of photosynthesis in air vs. water, providing a potential mechanism for complementarity among species. Thus, in objective 2, the effects of diversity on shorter term carbon fixation in air and in water will be explored in the lab using O2 evolution (water) and CO2 uptake (air). Similarly, in objective 3, field experiments with algal mimics will be used to assess whether the structural complexity of more diverse algal communities is responsible for enhanced inverterbrate diversity or abundance. For this objective, the possibility that the algal diet provided by multiple species in polycultures results in superior growth, survival or fecundity of herbivorous invertebrates in the plots will also be tested. In all experiments, the experimental design will allow us to (a) determine whether there is a diversity effect and (b) if there is a diversity effect, whether it is simply due to the overwhelming effect of one species (i.e., the sampling effect) or due to complementary roles played by the various macroalgal species. <br/><br/>Given the unprecedented rate of extinctions the earth is experiencing, an understanding of the consequences of biodiversity loss is critical to management efforts and this study will allow us to assess the applicability of terrestrial results to the management of marine systems. For example, it is vital that resource managers and designers of Marine Protected Areas understand the degree to which diversity at the producer level is important for enhancing the production and diversity of higher trophic levels and the overall function of coastal ecosystems. This study will provide some of the first data anywhere in marine systems on these issues and the first experimental data for the Pacific marine rocky intertidal. This project will also enhance the experience and training of post-doctoral, Ph.D. and M.S. students, and undergraduate students at two institutions. <br/><br/>(edited 15 Jan 04, J. Pawlik)"
"8660705","Diversification of Aquaculture in Southern USA, Polyculture of Prawns and Tilapia","IIP","SMALL BUSINESS PHASE I","02/01/1987","02/12/1987","Dan Cohen","GA","Covenant Aquaculture Corporation","Standard Grant","Ritchie B. Coryell","07/31/1987","$39,992.00","","","1936 N Druid Hills Rd NE S-100","Atlanta","GA","303194120","4046368909","ENG","5371","1121, 1128, 5371","$0.00",""
"8560461","Polyculture of Abalone and Algae in the Sea","IIP","SMALL BUSINESS PHASE I","02/01/1986","08/08/1986","John Benson","CA","Neushul Mariculture Inc","Standard Grant","Ritchie B. Coryell","01/31/1987","$38,909.00","","","475 Kellogg Way","Goleta","CA","931173804","8059645844","ENG","5371","1650, 5371","$0.00",""
"9623969","Dissertation Research: Nutrient Use Efficiency in Simplified Tropical Ecosystems","DEB","ECOSYSTEM STUDIES","06/15/1996","06/11/1996","John Ewel","FL","University of Florida","Standard Grant","Douglas Siegel-Causey","05/31/1998","$5,782.00","","jackewel@ufl.edu","1 UNIVERSITY OF FLORIDA","GAINESVILLE","FL","326112002","3523923516","BIO","1181","9179, SMET","$0.00","9623969 Ewel Nutrient use efficiency in simplified tropical ecosystems. The efficiency with which plants use nutrients is a theme that unites physiological processes at many scales - from leaves, to plants, to whole ecosystems. Can differences in nutrient use efficiency at the leaf and plant level be scaled up to predict nutrient use efficiency at the ecosystem level? Nutrient use efficiency will be ilvestigated at different scales in a series of simplified tropical ecosystems: tree monocultures, and polycultures of trees and a very different life form - large, perennial monocots. Nutrient use efficiency will be calculated at the leaf level, as the maximum potential photosynthetic rate per unit nutrient content; at the plant level, as total biomass produced relative to nutrient uptake; and at the ecosystem level, as biomass production relative to nutrient supply. The study will provide an opportunity to compare nutrient use efficiency across scales, and across life forms. Understanding feedbacks between nutrient use efficiency at the leaf and plant level, and ecosystem nutrient use, will provide insight into the functional role of biodiversity. It will also provide a powerful tool in enabling restoration of degraded lands, and design of land use systems that are effective at nutrient conservation."
